# Renewables.ninja Solar PV (Point API) - 51.380, -2.360 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""51.38032725468333"""," ""lon"": ""-2.359857950800309"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""100"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""16"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
01/01/2015 00:00,01/01/2015 00:00,0,0,0,7.348,0,,,,,,,,,,,,,
01/01/2015 01:00,01/01/2015 01:00,0,0,0,7.378,0,,,,,,,,,,,,,
01/01/2015 02:00,01/01/2015 02:00,0,0,0,7.55,0,,,,,,,,,,,,,
01/01/2015 03:00,01/01/2015 03:00,0,0,0,8.037,0,,,,,,,,,,,,,
01/01/2015 04:00,01/01/2015 04:00,0,0,0,8.496,0,,,,,,,,,,,,,
01/01/2015 05:00,01/01/2015 05:00,0,0,0,8.746,0,,,,,,,,,,,,,
01/01/2015 06:00,01/01/2015 06:00,0,0,0,8.692,0,,,,,,,,,,,,,
01/01/2015 07:00,01/01/2015 07:00,0,0,0,9.004,0,,,,,,,,,,,,,
01/01/2015 08:00,01/01/2015 08:00,0,0,0.001,9.326,0,,,,,,,,,,,,,
01/01/2015 09:00,01/01/2015 09:00,0.335,0,0.012,9.62,0,,,,,,,,,,,,,
01/01/2015 10:00,01/01/2015 10:00,1.381,0,0.027,9.931,0,,,,,,,,,,,,,
01/01/2015 11:00,01/01/2015 11:00,1.69,0,0.031,10.207,0,,,,,,,,,,,,,
01/01/2015 12:00,01/01/2015 12:00,4.458,0.002,0.061,10.394,0,,,,,,,,,,,,,
01/01/2015 13:00,01/01/2015 13:00,2.413,0,0.039,10.594,0,,,,,,,,,,,,,
01/01/2015 14:00,01/01/2015 14:00,2.165,0,0.036,10.768,0,,,,,,,,,,,,,
01/01/2015 15:00,01/01/2015 15:00,0.164,0,0.009,10.717,0,,,,,,,,,,,,,
01/01/2015 16:00,01/01/2015 16:00,0,0,0.001,10.658,0,,,,,,,,,,,,,
01/01/2015 17:00,01/01/2015 17:00,0,0,0,10.719,0,,,,,,,,,,,,,
01/01/2015 18:00,01/01/2015 18:00,0,0,0,10.854,0,,,,,,,,,,,,,
01/01/2015 19:00,01/01/2015 19:00,0,0,0,11.003,0,,,,,,,,,,,,,
01/01/2015 20:00,01/01/2015 20:00,0,0,0,11.1,0,,,,,,,,,,,,,
01/01/2015 21:00,01/01/2015 21:00,0,0,0,11.28,0,,,,,,,,,,,,,
01/01/2015 22:00,01/01/2015 22:00,0,0,0,11.522,0,,,,,,,,,,,,,
01/01/2015 23:00,01/01/2015 23:00,0,0,0,11.713,0,,,,,,,,,,,,,
02/01/2015 00:00,02/01/2015 00:00,0,0,0,11.803,0,,,,,,,,,,,,,
02/01/2015 01:00,02/01/2015 01:00,0,0,0,11.555,0,,,,,,,,,,,,,
02/01/2015 02:00,02/01/2015 02:00,0,0,0,10.378,0,,,,,,,,,,,,,
02/01/2015 03:00,02/01/2015 03:00,0,0,0,8.865,0,,,,,,,,,,,,,
02/01/2015 04:00,02/01/2015 04:00,0,0,0,7.96,0,,,,,,,,,,,,,
02/01/2015 05:00,02/01/2015 05:00,0,0,0,7.236,0,,,,,,,,,,,,,
02/01/2015 06:00,02/01/2015 06:00,0,0,0,6.639,0,,,,,,,,,,,,,
02/01/2015 07:00,02/01/2015 07:00,0,0,0,6.24,0,,,,,,,,,,,,,
02/01/2015 08:00,02/01/2015 08:00,0.137,0.005,0.003,5.812,0,,,,,,,,,,,,,
02/01/2015 09:00,02/01/2015 09:00,8.468,0.075,0.03,6.048,0,,,,,,,,,,,,,
02/01/2015 10:00,02/01/2015 10:00,22.563,0.199,0.055,6.874,0,,,,,,,,,,,,,
02/01/2015 11:00,02/01/2015 11:00,30.864,0.271,0.073,7.681,0,,,,,,,,,,,,,
02/01/2015 12:00,02/01/2015 12:00,34.612,0.306,0.08,8.012,0,,,,,,,,,,,,,
02/01/2015 13:00,02/01/2015 13:00,31.69,0.27,0.083,7.731,0,,,,,,,,,,,,,
02/01/2015 14:00,02/01/2015 14:00,23.848,0.194,0.073,6.982,0,,,,,,,,,,,,,
02/01/2015 15:00,02/01/2015 15:00,10.081,0.074,0.047,5.052,0,,,,,,,,,,,,,
02/01/2015 16:00,02/01/2015 16:00,0.031,0.002,0.004,3.109,0,,,,,,,,,,,,,
02/01/2015 17:00,02/01/2015 17:00,0,0,0,3.124,0,,,,,,,,,,,,,
02/01/2015 18:00,02/01/2015 18:00,0,0,0,3.454,0,,,,,,,,,,,,,
02/01/2015 19:00,02/01/2015 19:00,0,0,0,2.962,0,,,,,,,,,,,,,
02/01/2015 20:00,02/01/2015 20:00,0,0,0,3.179,0,,,,,,,,,,,,,
02/01/2015 21:00,02/01/2015 21:00,0,0,0,3.424,0,,,,,,,,,,,,,
02/01/2015 22:00,02/01/2015 22:00,0,0,0,3.485,0,,,,,,,,,,,,,
02/01/2015 23:00,02/01/2015 23:00,0,0,0,3.435,0,,,,,,,,,,,,,
03/01/2015 00:00,03/01/2015 00:00,0,0,0,2.726,0,,,,,,,,,,,,,
03/01/2015 01:00,03/01/2015 01:00,0,0,0,3.04,0,,,,,,,,,,,,,
03/01/2015 02:00,03/01/2015 02:00,0,0,0,3.479,0,,,,,,,,,,,,,
03/01/2015 03:00,03/01/2015 03:00,0,0,0,3.667,0,,,,,,,,,,,,,
03/01/2015 04:00,03/01/2015 04:00,0,0,0,3.753,0,,,,,,,,,,,,,
03/01/2015 05:00,03/01/2015 05:00,0,0,0,3.923,0,,,,,,,,,,,,,
03/01/2015 06:00,03/01/2015 06:00,0,0,0,3.847,0,,,,,,,,,,,,,
03/01/2015 07:00,03/01/2015 07:00,0,0,0,4.561,0,,,,,,,,,,,,,
03/01/2015 08:00,03/01/2015 08:00,0,0,0.001,5.803,0,,,,,,,,,,,,,
03/01/2015 09:00,03/01/2015 09:00,7.675,0.077,0.02,7.224,0,,,,,,,,,,,,,
03/01/2015 10:00,03/01/2015 10:00,3.491,0.005,0.047,9.089,0,,,,,,,,,,,,,
03/01/2015 11:00,03/01/2015 11:00,4.88,0.001,0.067,10.255,0,,,,,,,,,,,,,
03/01/2015 12:00,03/01/2015 12:00,4.139,0.001,0.059,10.806,0,,,,,,,,,,,,,
03/01/2015 13:00,03/01/2015 13:00,3.124,0.001,0.047,10.804,0,,,,,,,,,,,,,
03/01/2015 14:00,03/01/2015 14:00,3.473,0.002,0.049,9.799,0,,,,,,,,,,,,,
03/01/2015 15:00,03/01/2015 15:00,0.904,0.001,0.02,7.269,0,,,,,,,,,,,,,
03/01/2015 16:00,03/01/2015 16:00,0,0,0.001,4.461,0,,,,,,,,,,,,,
03/01/2015 17:00,03/01/2015 17:00,0,0,0,2.835,0,,,,,,,,,,,,,
03/01/2015 18:00,03/01/2015 18:00,0,0,0,2.211,0,,,,,,,,,,,,,
03/01/2015 19:00,03/01/2015 19:00,0,0,0,2.04,0,,,,,,,,,,,,,
03/01/2015 20:00,03/01/2015 20:00,0,0,0,1.881,0,,,,,,,,,,,,,
03/01/2015 21:00,03/01/2015 21:00,0,0,0,1.75,0,,,,,,,,,,,,,
03/01/2015 22:00,03/01/2015 22:00,0,0,0,1.707,0,,,,,,,,,,,,,
03/01/2015 23:00,03/01/2015 23:00,0,0,0,1.714,0,,,,,,,,,,,,,
04/01/2015 00:00,04/01/2015 00:00,0,0,0,1.673,0,,,,,,,,,,,,,
04/01/2015 01:00,04/01/2015 01:00,0,0,0,1.501,0,,,,,,,,,,,,,
04/01/2015 02:00,04/01/2015 02:00,0,0,0,1.314,0,,,,,,,,,,,,,
04/01/2015 03:00,04/01/2015 03:00,0,0,0,1.154,0,,,,,,,,,,,,,
04/01/2015 04:00,04/01/2015 04:00,0,0,0,0.895,0,,,,,,,,,,,,,
04/01/2015 05:00,04/01/2015 05:00,0,0,0,0.7,0,,,,,,,,,,,,,
04/01/2015 06:00,04/01/2015 06:00,0,0,0,0.489,0,,,,,,,,,,,,,
04/01/2015 07:00,04/01/2015 07:00,0,0,0,0.266,0,,,,,,,,,,,,,
04/01/2015 08:00,04/01/2015 08:00,0,0,0.001,0.2,0,,,,,,,,,,,,,
04/01/2015 09:00,04/01/2015 09:00,0.125,0,0.008,0.441,0,,,,,,,,,,,,,
04/01/2015 10:00,04/01/2015 10:00,2.817,0,0.042,0.997,0,,,,,,,,,,,,,
04/01/2015 11:00,04/01/2015 11:00,3.649,0.002,0.051,1.839,0,,,,,,,,,,,,,
04/01/2015 12:00,04/01/2015 12:00,3.566,0,0.051,2.61,0,,,,,,,,,,,,,
04/01/2015 13:00,04/01/2015 13:00,14.208,0.064,0.099,3.14,0,,,,,,,,,,,,,
04/01/2015 14:00,04/01/2015 14:00,5.148,0.008,0.061,3.406,0,,,,,,,,,,,,,
04/01/2015 15:00,04/01/2015 15:00,1.43,0.001,0.025,3.358,0,,,,,,,,,,,,,
04/01/2015 16:00,04/01/2015 16:00,0,0,0.002,3.371,0,,,,,,,,,,,,,
04/01/2015 17:00,04/01/2015 17:00,0,0,0,3.537,0,,,,,,,,,,,,,
04/01/2015 18:00,04/01/2015 18:00,0,0,0,3.765,0,,,,,,,,,,,,,
04/01/2015 19:00,04/01/2015 19:00,0,0,0,4.029,0,,,,,,,,,,,,,
04/01/2015 20:00,04/01/2015 20:00,0,0,0,4.266,0,,,,,,,,,,,,,
04/01/2015 21:00,04/01/2015 21:00,0,0,0,4.517,0,,,,,,,,,,,,,
04/01/2015 22:00,04/01/2015 22:00,0,0,0,4.723,0,,,,,,,,,,,,,
04/01/2015 23:00,04/01/2015 23:00,0,0,0,4.871,0,,,,,,,,,,,,,
05/01/2015 00:00,05/01/2015 00:00,0,0,0,5.071,0,,,,,,,,,,,,,
05/01/2015 01:00,05/01/2015 01:00,0,0,0,5.361,0,,,,,,,,,,,,,
05/01/2015 02:00,05/01/2015 02:00,0,0,0,5.633,0,,,,,,,,,,,,,
05/01/2015 03:00,05/01/2015 03:00,0,0,0,5.806,0,,,,,,,,,,,,,
05/01/2015 04:00,05/01/2015 04:00,0,0,0,5.9,0,,,,,,,,,,,,,
05/01/2015 05:00,05/01/2015 05:00,0,0,0,5.971,0,,,,,,,,,,,,,
05/01/2015 06:00,05/01/2015 06:00,0,0,0,6.001,0,,,,,,,,,,,,,
05/01/2015 07:00,05/01/2015 07:00,0,0,0,6.199,0,,,,,,,,,,,,,
05/01/2015 08:00,05/01/2015 08:00,0,0,0.001,6.562,0,,,,,,,,,,,,,
05/01/2015 09:00,05/01/2015 09:00,1.908,0.004,0.029,7.294,0,,,,,,,,,,,,,
05/01/2015 10:00,05/01/2015 10:00,4.504,0.005,0.058,7.883,0,,,,,,,,,,,,,
05/01/2015 11:00,05/01/2015 11:00,4.993,0.001,0.068,8.333,0,,,,,,,,,,,,,
05/01/2015 12:00,05/01/2015 12:00,3.81,0,0.055,8.555,0,,,,,,,,,,,,,
05/01/2015 13:00,05/01/2015 13:00,4.074,0,0.058,8.546,0,,,,,,,,,,,,,
05/01/2015 14:00,05/01/2015 14:00,2.61,0,0.041,8.305,0,,,,,,,,,,,,,
05/01/2015 15:00,05/01/2015 15:00,0.887,0,0.02,7.845,0,,,,,,,,,,,,,
05/01/2015 16:00,05/01/2015 16:00,0,0,0.001,7.415,0,,,,,,,,,,,,,
05/01/2015 17:00,05/01/2015 17:00,0,0,0,7.389,0,,,,,,,,,,,,,
05/01/2015 18:00,05/01/2015 18:00,0,0,0,7.386,0,,,,,,,,,,,,,
05/01/2015 19:00,05/01/2015 19:00,0,0,0,7.577,0,,,,,,,,,,,,,
05/01/2015 20:00,05/01/2015 20:00,0,0,0,7.709,0,,,,,,,,,,,,,
05/01/2015 21:00,05/01/2015 21:00,0,0,0,7.77,0,,,,,,,,,,,,,
05/01/2015 22:00,05/01/2015 22:00,0,0,0,7.828,0,,,,,,,,,,,,,
05/01/2015 23:00,05/01/2015 23:00,0,0,0,7.956,0,,,,,,,,,,,,,
06/01/2015 00:00,06/01/2015 00:00,0,0,0,8.1,0,,,,,,,,,,,,,
06/01/2015 01:00,06/01/2015 01:00,0,0,0,8.156,0,,,,,,,,,,,,,
06/01/2015 02:00,06/01/2015 02:00,0,0,0,8.156,0,,,,,,,,,,,,,
06/01/2015 03:00,06/01/2015 03:00,0,0,0,8.108,0,,,,,,,,,,,,,
06/01/2015 04:00,06/01/2015 04:00,0,0,0,8.302,0,,,,,,,,,,,,,
06/01/2015 05:00,06/01/2015 05:00,0,0,0,8.552,0,,,,,,,,,,,,,
06/01/2015 06:00,06/01/2015 06:00,0,0,0,8.616,0,,,,,,,,,,,,,
06/01/2015 07:00,06/01/2015 07:00,0,0,0,8.395,0,,,,,,,,,,,,,
06/01/2015 08:00,06/01/2015 08:00,0,0,0.002,8.425,0,,,,,,,,,,,,,
06/01/2015 09:00,06/01/2015 09:00,0.221,0,0.01,8.625,0,,,,,,,,,,,,,
06/01/2015 10:00,06/01/2015 10:00,2.608,0.004,0.038,8.078,0,,,,,,,,,,,,,
06/01/2015 11:00,06/01/2015 11:00,22.977,0.165,0.093,7.376,0,,,,,,,,,,,,,
06/01/2015 12:00,06/01/2015 12:00,21.837,0.134,0.112,7.165,0,,,,,,,,,,,,,
06/01/2015 13:00,06/01/2015 13:00,25.965,0.185,0.105,7.11,0,,,,,,,,,,,,,
06/01/2015 14:00,06/01/2015 14:00,21.973,0.168,0.079,6.722,0,,,,,,,,,,,,,
06/01/2015 15:00,06/01/2015 15:00,11.498,0.086,0.05,5.192,0,,,,,,,,,,,,,
06/01/2015 16:00,06/01/2015 16:00,0.154,0.003,0.005,3.097,0,,,,,,,,,,,,,
06/01/2015 17:00,06/01/2015 17:00,0,0,0,2.374,0,,,,,,,,,,,,,
06/01/2015 18:00,06/01/2015 18:00,0,0,0,1.926,0,,,,,,,,,,,,,
06/01/2015 19:00,06/01/2015 19:00,0,0,0,1.788,0,,,,,,,,,,,,,
06/01/2015 20:00,06/01/2015 20:00,0,0,0,1.757,0,,,,,,,,,,,,,
06/01/2015 21:00,06/01/2015 21:00,0,0,0,2.449,0,,,,,,,,,,,,,
06/01/2015 22:00,06/01/2015 22:00,0,0,0,2.978,0,,,,,,,,,,,,,
06/01/2015 23:00,06/01/2015 23:00,0,0,0,3.374,0,,,,,,,,,,,,,
07/01/2015 00:00,07/01/2015 00:00,0,0,0,3.913,0,,,,,,,,,,,,,
07/01/2015 01:00,07/01/2015 01:00,0,0,0,4.283,0,,,,,,,,,,,,,
07/01/2015 02:00,07/01/2015 02:00,0,0,0,4.228,0,,,,,,,,,,,,,
07/01/2015 03:00,07/01/2015 03:00,0,0,0,4.064,0,,,,,,,,,,,,,
07/01/2015 04:00,07/01/2015 04:00,0,0,0,4.047,0,,,,,,,,,,,,,
07/01/2015 05:00,07/01/2015 05:00,0,0,0,3.863,0,,,,,,,,,,,,,
07/01/2015 06:00,07/01/2015 06:00,0,0,0,4.023,0,,,,,,,,,,,,,
07/01/2015 07:00,07/01/2015 07:00,0,0,0,4.207,0,,,,,,,,,,,,,
07/01/2015 08:00,07/01/2015 08:00,0,0.001,0.003,4.642,0,,,,,,,,,,,,,
07/01/2015 09:00,07/01/2015 09:00,2.454,0.008,0.032,5.546,0,,,,,,,,,,,,,
07/01/2015 10:00,07/01/2015 10:00,4.874,0.005,0.062,6.435,0,,,,,,,,,,,,,
07/01/2015 11:00,07/01/2015 11:00,7.067,0.005,0.085,7.142,0,,,,,,,,,,,,,
07/01/2015 12:00,07/01/2015 12:00,8.76,0.01,0.098,7.584,0,,,,,,,,,,,,,
07/01/2015 13:00,07/01/2015 13:00,6.788,0.007,0.08,7.768,0,,,,,,,,,,,,,
07/01/2015 14:00,07/01/2015 14:00,3.272,0.001,0.048,7.909,0,,,,,,,,,,,,,
07/01/2015 15:00,07/01/2015 15:00,0.279,0,0.011,7.984,0,,,,,,,,,,,,,
07/01/2015 16:00,07/01/2015 16:00,0,0,0.001,8.104,0,,,,,,,,,,,,,
07/01/2015 17:00,07/01/2015 17:00,0,0,0,8.342,0,,,,,,,,,,,,,
07/01/2015 18:00,07/01/2015 18:00,0,0,0,8.559,0,,,,,,,,,,,,,
07/01/2015 19:00,07/01/2015 19:00,0,0,0,8.753,0,,,,,,,,,,,,,
07/01/2015 20:00,07/01/2015 20:00,0,0,0,8.947,0,,,,,,,,,,,,,
07/01/2015 21:00,07/01/2015 21:00,0,0,0,9.29,0,,,,,,,,,,,,,
07/01/2015 22:00,07/01/2015 22:00,0,0,0,9.745,0,,,,,,,,,,,,,
07/01/2015 23:00,07/01/2015 23:00,0,0,0,10.147,0,,,,,,,,,,,,,
08/01/2015 00:00,08/01/2015 00:00,0,0,0,10.427,0,,,,,,,,,,,,,
08/01/2015 01:00,08/01/2015 01:00,0,0,0,10.464,0,,,,,,,,,,,,,
08/01/2015 02:00,08/01/2015 02:00,0,0,0,10.411,0,,,,,,,,,,,,,
08/01/2015 03:00,08/01/2015 03:00,0,0,0,9.935,0,,,,,,,,,,,,,
08/01/2015 04:00,08/01/2015 04:00,0,0,0,9.334,0,,,,,,,,,,,,,
08/01/2015 05:00,08/01/2015 05:00,0,0,0,8.898,0,,,,,,,,,,,,,
08/01/2015 06:00,08/01/2015 06:00,0,0,0,8.558,0,,,,,,,,,,,,,
08/01/2015 07:00,08/01/2015 07:00,0,0,0,8.12,0,,,,,,,,,,,,,
08/01/2015 08:00,08/01/2015 08:00,0,0,0.001,7.847,0,,,,,,,,,,,,,
08/01/2015 09:00,08/01/2015 09:00,1.024,0.002,0.02,7.783,0,,,,,,,,,,,,,
08/01/2015 10:00,08/01/2015 10:00,3.627,0.003,0.05,7.568,0,,,,,,,,,,,,,
08/01/2015 11:00,08/01/2015 11:00,27.856,0.253,0.058,7.935,0,,,,,,,,,,,,,
08/01/2015 12:00,08/01/2015 12:00,37.117,0.342,0.073,8.397,0,,,,,,,,,,,,,
08/01/2015 13:00,08/01/2015 13:00,17.973,0.108,0.098,8.608,0,,,,,,,,,,,,,
08/01/2015 14:00,08/01/2015 14:00,24.69,0.202,0.075,8.197,0,,,,,,,,,,,,,
08/01/2015 15:00,08/01/2015 15:00,12.565,0.096,0.052,6.964,0,,,,,,,,,,,,,
08/01/2015 16:00,08/01/2015 16:00,0.392,0.006,0.007,5.486,0,,,,,,,,,,,,,
08/01/2015 17:00,08/01/2015 17:00,0,0,0,5.838,0,,,,,,,,,,,,,
08/01/2015 18:00,08/01/2015 18:00,0,0,0,5.894,0,,,,,,,,,,,,,
08/01/2015 19:00,08/01/2015 19:00,0,0,0,5.905,0,,,,,,,,,,,,,
08/01/2015 20:00,08/01/2015 20:00,0,0,0,5.992,0,,,,,,,,,,,,,
08/01/2015 21:00,08/01/2015 21:00,0,0,0,6.133,0,,,,,,,,,,,,,
08/01/2015 22:00,08/01/2015 22:00,0,0,0,6.451,0,,,,,,,,,,,,,
08/01/2015 23:00,08/01/2015 23:00,0,0,0,6.944,0,,,,,,,,,,,,,
09/01/2015 00:00,09/01/2015 00:00,0,0,0,7.594,0,,,,,,,,,,,,,
09/01/2015 01:00,09/01/2015 01:00,0,0,0,8.405,0,,,,,,,,,,,,,
09/01/2015 02:00,09/01/2015 02:00,0,0,0,8.991,0,,,,,,,,,,,,,
09/01/2015 03:00,09/01/2015 03:00,0,0,0,9.714,0,,,,,,,,,,,,,
09/01/2015 04:00,09/01/2015 04:00,0,0,0,10.159,0,,,,,,,,,,,,,
09/01/2015 05:00,09/01/2015 05:00,0,0,0,10.111,0,,,,,,,,,,,,,
09/01/2015 06:00,09/01/2015 06:00,0,0,0,10.125,0,,,,,,,,,,,,,
09/01/2015 07:00,09/01/2015 07:00,0,0,0,10.118,0,,,,,,,,,,,,,
09/01/2015 08:00,09/01/2015 08:00,0,0,0.002,9.926,0,,,,,,,,,,,,,
09/01/2015 09:00,09/01/2015 09:00,8.236,0.072,0.032,9.837,0,,,,,,,,,,,,,
09/01/2015 10:00,09/01/2015 10:00,23.56,0.215,0.053,10.071,0,,,,,,,,,,,,,
09/01/2015 11:00,09/01/2015 11:00,31.865,0.287,0.073,10.46,0,,,,,,,,,,,,,
09/01/2015 12:00,09/01/2015 12:00,33.809,0.295,0.088,11.02,0,,,,,,,,,,,,,
09/01/2015 13:00,09/01/2015 13:00,20.904,0.149,0.091,11.235,0,,,,,,,,,,,,,
09/01/2015 14:00,09/01/2015 14:00,2.421,0,0.039,11.47,0,,,,,,,,,,,,,
09/01/2015 15:00,09/01/2015 15:00,0.867,0,0.02,11.918,0,,,,,,,,,,,,,
09/01/2015 16:00,09/01/2015 16:00,0,0,0.002,12.285,0,,,,,,,,,,,,,
09/01/2015 17:00,09/01/2015 17:00,0,0,0,12.561,0,,,,,,,,,,,,,
09/01/2015 18:00,09/01/2015 18:00,0,0,0,12.536,0,,,,,,,,,,,,,
09/01/2015 19:00,09/01/2015 19:00,0,0,0,12.43,0,,,,,,,,,,,,,
09/01/2015 20:00,09/01/2015 20:00,0,0,0,12.249,0,,,,,,,,,,,,,
09/01/2015 21:00,09/01/2015 21:00,0,0,0,11.975,0,,,,,,,,,,,,,
09/01/2015 22:00,09/01/2015 22:00,0,0,0,11.732,0,,,,,,,,,,,,,
09/01/2015 23:00,09/01/2015 23:00,0,0,0,11.609,0,,,,,,,,,,,,,
10/01/2015 00:00,10/01/2015 00:00,0,0,0,11.497,0,,,,,,,,,,,,,
10/01/2015 01:00,10/01/2015 01:00,0,0,0,11.396,0,,,,,,,,,,,,,
10/01/2015 02:00,10/01/2015 02:00,0,0,0,11.331,0,,,,,,,,,,,,,
10/01/2015 03:00,10/01/2015 03:00,0,0,0,11.316,0,,,,,,,,,,,,,
10/01/2015 04:00,10/01/2015 04:00,0,0,0,11.448,0,,,,,,,,,,,,,
10/01/2015 05:00,10/01/2015 05:00,0,0,0,11.617,0,,,,,,,,,,,,,
10/01/2015 06:00,10/01/2015 06:00,0,0,0,11.735,0,,,,,,,,,,,,,
10/01/2015 07:00,10/01/2015 07:00,0,0,0,11.909,0,,,,,,,,,,,,,
10/01/2015 08:00,10/01/2015 08:00,0,0,0.001,11.336,0,,,,,,,,,,,,,
10/01/2015 09:00,10/01/2015 09:00,0.116,0,0.008,8.797,0,,,,,,,,,,,,,
10/01/2015 10:00,10/01/2015 10:00,9.542,0.062,0.055,8.129,0,,,,,,,,,,,,,
10/01/2015 11:00,10/01/2015 11:00,10.034,0.04,0.082,7.59,0,,,,,,,,,,,,,
10/01/2015 12:00,10/01/2015 12:00,18.967,0.093,0.122,6.788,0,,,,,,,,,,,,,
10/01/2015 13:00,10/01/2015 13:00,13.222,0.045,0.109,6.333,0,,,,,,,,,,,,,
10/01/2015 14:00,10/01/2015 14:00,18.214,0.114,0.092,5.914,0,,,,,,,,,,,,,
10/01/2015 15:00,10/01/2015 15:00,9.738,0.062,0.056,5.014,0,,,,,,,,,,,,,
10/01/2015 16:00,10/01/2015 16:00,0.297,0.004,0.007,3.879,0,,,,,,,,,,,,,
10/01/2015 17:00,10/01/2015 17:00,0,0,0,3.392,0,,,,,,,,,,,,,
10/01/2015 18:00,10/01/2015 18:00,0,0,0,3.203,0,,,,,,,,,,,,,
10/01/2015 19:00,10/01/2015 19:00,0,0,0,3.216,0,,,,,,,,,,,,,
10/01/2015 20:00,10/01/2015 20:00,0,0,0,3.29,0,,,,,,,,,,,,,
10/01/2015 21:00,10/01/2015 21:00,0,0,0,3.318,0,,,,,,,,,,,,,
10/01/2015 22:00,10/01/2015 22:00,0,0,0,3.318,0,,,,,,,,,,,,,
10/01/2015 23:00,10/01/2015 23:00,0,0,0,3.361,0,,,,,,,,,,,,,
11/01/2015 00:00,11/01/2015 00:00,0,0,0,3.439,0,,,,,,,,,,,,,
11/01/2015 01:00,11/01/2015 01:00,0,0,0,3.411,0,,,,,,,,,,,,,
11/01/2015 02:00,11/01/2015 02:00,0,0,0,3.266,0,,,,,,,,,,,,,
11/01/2015 03:00,11/01/2015 03:00,0,0,0,3.056,0,,,,,,,,,,,,,
11/01/2015 04:00,11/01/2015 04:00,0,0,0,2.953,0,,,,,,,,,,,,,
11/01/2015 05:00,11/01/2015 05:00,0,0,0,2.906,0,,,,,,,,,,,,,
11/01/2015 06:00,11/01/2015 06:00,0,0,0,2.886,0,,,,,,,,,,,,,
11/01/2015 07:00,11/01/2015 07:00,0,0,0,2.935,0,,,,,,,,,,,,,
11/01/2015 08:00,11/01/2015 08:00,0.108,0.003,0.004,3.236,0,,,,,,,,,,,,,
11/01/2015 09:00,11/01/2015 09:00,9.415,0.081,0.033,4.308,0,,,,,,,,,,,,,
11/01/2015 10:00,11/01/2015 10:00,17.793,0.125,0.077,5.237,0,,,,,,,,,,,,,
11/01/2015 11:00,11/01/2015 11:00,24.724,0.171,0.104,5.87,0,,,,,,,,,,,,,
11/01/2015 12:00,11/01/2015 12:00,16.833,0.075,0.118,6.524,0,,,,,,,,,,,,,
11/01/2015 13:00,11/01/2015 13:00,7.046,0.003,0.087,6.884,0,,,,,,,,,,,,,
11/01/2015 14:00,11/01/2015 14:00,3.482,0.002,0.05,7.017,0,,,,,,,,,,,,,
11/01/2015 15:00,11/01/2015 15:00,1.947,0.001,0.032,6.72,0,,,,,,,,,,,,,
11/01/2015 16:00,11/01/2015 16:00,0,0,0.002,6.22,0,,,,,,,,,,,,,
11/01/2015 17:00,11/01/2015 17:00,0,0,0,6.273,0,,,,,,,,,,,,,
11/01/2015 18:00,11/01/2015 18:00,0,0,0,6.472,0,,,,,,,,,,,,,
11/01/2015 19:00,11/01/2015 19:00,0,0,0,6.549,0,,,,,,,,,,,,,
11/01/2015 20:00,11/01/2015 20:00,0,0,0,6.715,0,,,,,,,,,,,,,
11/01/2015 21:00,11/01/2015 21:00,0,0,0,6.87,0,,,,,,,,,,,,,
11/01/2015 22:00,11/01/2015 22:00,0,0,0,7.006,0,,,,,,,,,,,,,
11/01/2015 23:00,11/01/2015 23:00,0,0,0,7.031,0,,,,,,,,,,,,,
12/01/2015 00:00,12/01/2015 00:00,0,0,0,7.081,0,,,,,,,,,,,,,
12/01/2015 01:00,12/01/2015 01:00,0,0,0,7.23,0,,,,,,,,,,,,,
12/01/2015 02:00,12/01/2015 02:00,0,0,0,7.337,0,,,,,,,,,,,,,
12/01/2015 03:00,12/01/2015 03:00,0,0,0,7.474,0,,,,,,,,,,,,,
12/01/2015 04:00,12/01/2015 04:00,0,0,0,7.758,0,,,,,,,,,,,,,
12/01/2015 05:00,12/01/2015 05:00,0,0,0,8.1,0,,,,,,,,,,,,,
12/01/2015 06:00,12/01/2015 06:00,0,0,0,8.425,0,,,,,,,,,,,,,
12/01/2015 07:00,12/01/2015 07:00,0,0,0,8.777,0,,,,,,,,,,,,,
12/01/2015 08:00,12/01/2015 08:00,0,0,0.001,9.294,0,,,,,,,,,,,,,
12/01/2015 09:00,12/01/2015 09:00,3.605,0.02,0.033,9.739,0,,,,,,,,,,,,,
